,Caption,Total_reactions,No_of_Comment,Share,Comment,Reaction,Post_url,Rating,Like,Haha,Love,Sad,Wow,Angry
0,"Donald J. Trump's debate study habits, Hillary Clinton's strategy on millennials and the latest electoral trends in swing state Ohio — they're just some of the future headlines in our ""Inside Politics"" forecast this week.",58,103,8,"                      Name                                            Comment
0      Jonathan Del Carmen  Jonathan Del Carmen Hillary Clinton Leads in M...
1             Jack Schroth  Jack Schroth Her strategy is to bring more Mus...
2              Lisa Bivona  Lisa Bivona Melinda Maynard Hyatt Lol. Do you ...
3            Suzie Sevigny  Suzie Sevigny At a time, where in America it i...
4            Anthony Colón  Anthony Colón Gary Johnson is an American busi...
5      Jonathan Del Carmen  Jonathan Del Carmen Hillary Clinton Still Lead...
6              Mickey Shay  Mickey Shay Here's a debate strategy\n#letgary...
7    Delina Hess Blanchett  Delina Hess Blanchett Where is the media atten...
8           Darrell Blaser  Darrell Blaser ""Banned Documentaries - Episode...
9            Dave Anderson  Dave Anderson CNN is anti America.. Digusting....
10             Titi Oshodi  Titi Oshodi Get education. Stop repeating lies...
11           Billy Masters       Billy Masters http://l.facebook.com/l.php...
12           John Sparacio  John Sparacio ""Her plan calls for total amnest...
13          Darrell Blaser  Darrell Blaser Black Man In Trump Shirt Confro...
14           Melinda Hyatt  Melinda Hyatt ! Wikileaks Confirms Hillary Sol...
15              Chad Smith                        Chad Smith CNN is pro-Trump
16           Ashley Mulder  Ashley Mulder Practice saying ""yuuuuuge"" in th...
17          Rebecca Laskey  Rebecca Laskey Republican businessman Donald J...
18              Danette EJ  Danette EJ I hear that train a comin. 🚂🚂💨\nCho...
19           Pnar Bradford  Pnar Bradford Trump Russia connection\nhttp://...
20             Dearly Vega  Dearly Vega DONALD TRUMP AN HONEST MAN MOST QU...
21          Rebecca Laskey  Rebecca Laskey HEY MAINSTREAM MEDIA!!! HOW ABO...
22             Linda Walsh  Linda Walsh Hillary can't keep America safe. S...
23    Abagail Garcia Smith  Abagail Garcia Smith This Latino American Wome...
24            Caryn Macron                  Caryn Macron He will destroy her.
25            Jeff Reddick  Jeff Reddick Carlos Santana’s former lead voca...
26          Rebecca Laskey  Rebecca Laskey HEY MAINSTREAM MEDIA!!! HOW ABO...
27              John Kelly  John Kelly CNN..... Stop talking about Donald ...
28                K.C. Pal  K.C. Pal HILLARY CLINTON IS GOING TO WHITE HOU...
29           Javi Melendez  Javi Melendez As a Latino man. I will NEVER su...
30      Doc Joe Villarreal  Doc Joe Villarreal These experts and pundits a...
31       Tracey Wooldridge  Tracey Wooldridge Hillary can't even fill a br...
32            Donna Sample  Donna Sample I'm curious to see the excuse tru...
33       Phillip Armstrong  Phillip Armstrong Trump's debate performance w...
34              Paul Booth            Paul Booth https://youtu.be/DMsU3rF9DEI
35  Suzanne Allen Crabtree  Suzanne Allen Crabtree Nothing the man says ad...
36         Caroline Talley                        Caroline Talley ONLY TRUMP!
37          Rebecca Laskey  Rebecca Laskey WE ARE CONCERNED ABOUT YOUR QUE...
38               Diana Cox  Diana Cox Can we just get it over with....the ...
39          Rebecca Laskey  Rebecca Laskey THE NARCISSISSTIC PATHOLOGICAL ...
40            Krista Clark  Krista Clark In his defence, painful talking a...
41               Solá Toín  Solá Toín He's too busy watching Fox & Friends...
42              Eva Kovacs  Eva Kovacs Well said, Mr. Walsh. You could als...
43            Carol Forbes  Carol Forbes The Republican Party seems to hav...
44          Adam Camilleri  Adam Camilleri Well he is an expert. Who’ll ev...
45           Chris Waldron  Chris Waldron He came to our area (Conway, SC)...
46            George Giret  George Giret Tim Ward\nAnd yet China's economy...
47                Tim Ward  Tim Ward You will need more than 7 Yuan just t...
48         Jerry Smith Jr.  Jerry Smith Jr. If someone holds 90% of your d...
49                Tim Ward  Tim Ward It’s actually less than 20%. I’m not ...
50   Krassenstein Brothers  Krassenstein Brothers How much money would he ...
51               Mari Mari  Mari Mari So sad that in the whole US there’s ...
52              Eva Kovacs  Eva Kovacs 'Received word from China"" is as mu...
53               Mag Smith  Mag Smith And I’ve received word that I won th...","['51 Like', '3 Haha', '3 Angry']",https://www.facebook.com/cnnpolitics/posts/1281392611902569,mostly true,51,3,0,0,0,3
1,"Since 1956, no presidential candidate has won the national popular vote without winning this county.",33,64,6,"                         Name  \
0   Francisco Jose De la Rosa   
1              Linda Critelli   
2          Joan Marie Harwood   
3                Doreen Zanni   
4              Linda Critelli   
5                    K.C. Pal   
6              Michael Nemeth   
7                Thom Roberts   
8       Delina Hess Blanchett   
9                  Paul Booth   
10             Rebecca Laskey   
11             Darrell Blaser   
12                  Jim Moore   
13             Darrell Blaser   
14             Rebecca Laskey   
15           William McElrath   
16                 Tony Wilks   
17         John Paul McEnaney   
18             Rebecca Laskey   
19             Rebecca Laskey   
20        Rachel Foley-Luetke   
21                  Merry Fay   
22             Rebecca Laskey   
23             Darrell Blaser   
24             Darrell Blaser   
25              Melba Cabrera   
26                   DA Kirby   
27             Rhonda Simmons   
28               Krista Clark   
29                  Solá Toín   
30                 Eva Kovacs   
31               Carol Forbes   
32             Adam Camilleri   
33              Chris Waldron   
34               George Giret   
35                   Tim Ward   
36            Jerry Smith Jr.   
37                   Tim Ward   
38      Krassenstein Brothers   
39                  Mari Mari   
40                 Eva Kovacs   
41                  Mag Smith   

                                              Comment  
0   Francisco Jose De la Rosa Mr Trump,you asked t...  
1   Linda Critelli Here's the inside scoop of how ...  
2    Joan Marie Harwood never heard of and don't care  
3   Doreen Zanni Trump did not start the birther m...  
4   Linda Critelli Confirmation of my previous pos...  
5   K.C. Pal HILLARY CLINTON IS GOING TO WHITE HOU...  
6   Michael Nemeth Talk about the real issues or s...  
7   Thom Roberts This country does not need or wan...  
8   Delina Hess Blanchett Where is the media atten...  
9             Paul Booth https://youtu.be/DMsU3rF9DEI  
10  Rebecca Laskey HEY MAINSTREAM MEDIA!!! HOW ABO...  
11  Darrell Blaser ""Banned Documentaries - Episode...  
12  Jim Moore IRREDEEMABLE DEPLORABLES, is what CR...  
13  Darrell Blaser https://m.facebook.com/story.ph...  
14  Rebecca Laskey WE ARE CONCERNED ABOUT YOUR QUE...  
15      William McElrath This is a ridiculous article  
16  Tony Wilks https://www.facebook.com/United-for...  
17    John Paul McEnaney https://youtu.be/q2SJmghHS08  
18  Rebecca Laskey THE NARCISSISSTIC PATHOLOGICAL ...  
19  Rebecca Laskey Republican businessman Donald J...  
20  Rachel Foley-Luetke ******\n.Hillary Clinton= ...  
21  Merry Fay Ugh.... the republicans are out trol...  
22  Rebecca Laskey A special letter to Republican ...  
23  Darrell Blaser Black Man In Trump Shirt Confro...  
24  Darrell Blaser Just 5.7 percent of the Clinton...  
25  Melba Cabrera https://www.facebook.com/raf.../...  
26  DA Kirby http://100percentfedup.com/hillary-on...  
27        Rhonda Simmons https://youtu.be/H6f4tZFZ_-g  
28  Krista Clark In his defence, painful talking a...  
29  Solá Toín He's too busy watching Fox & Friends...  
30  Eva Kovacs Well said, Mr. Walsh. You could als...  
31  Carol Forbes The Republican Party seems to hav...  
32  Adam Camilleri Well he is an expert. Who’ll ev...  
33  Chris Waldron He came to our area (Conway, SC)...  
34  George Giret Tim Ward\nAnd yet China's economy...  
35  Tim Ward You will need more than 7 Yuan just t...  
36  Jerry Smith Jr. If someone holds 90% of your d...  
37  Tim Ward It’s actually less than 20%. I’m not ...  
38  Krassenstein Brothers How much money would he ...  
39  Mari Mari So sad that in the whole US there’s ...  
40  Eva Kovacs 'Received word from China"" is as mu...  
41  Mag Smith And I’ve received word that I won th...  ","['31 Like', '2 Love']",https://www.facebook.com/cnnpolitics/posts/1281494028559094,mostly true,31,0,2,0,0,0
2,"""Only when his handlers tied him down and forced him did he grudgingly admit that the man was born in the United States,"" Elizabeth Warren says. ""What kind of a man does that? A man with a dark and ugly soul."" http://cnn.it/2cID4mP",497,383,111,"                     Name                                            Comment
0           Lisa Bergeson  Lisa Bergeson this is just the funniest story ...
1            Stephen Tapp  Stephen Tapp Warrens first vote in office was ...
2             Stephen Lee  Stephen Lee Elizabeth Warren soul told her she...
3            Fran Sweeney  Fran Sweeney He made this statement that Obama...
4             Wren Graham  Wren Graham Now she can read souls. She sold h...
..                    ...                                                ...
59               Tim Ward  Tim Ward It’s actually less than 20%. I’m not ...
60  Krassenstein Brothers  Krassenstein Brothers How much money would he ...
61              Mari Mari  Mari Mari So sad that in the whole US there’s ...
62             Eva Kovacs  Eva Kovacs 'Received word from China"" is as mu...
63              Mag Smith  Mag Smith And I’ve received word that I won th...

[64 rows x 2 columns]","['417 Like', '42 Love', '21 Angry']",https://www.facebook.com/cnnpolitics/posts/1281555051886325,mostly true,417,0,42,0,0,21
3,"A manufactured storyline. A promise of a ""major statement."" And an ulterior motive.",81,123,17,"                     Name                                            Comment
0              Bill ONeal  Bill ONeal It's so funny and transparent to se...
1             Dearly Vega  Dearly Vega TRUMP/PENCE GO SMOOTHLY TO THE WHI...
2            Howard Scott               Howard Scott He's playing the press.
3              Ron Aragon  Ron Aragon It is SO funny what Donald Trump di...
4                Al Marie  Al Marie Poor media babies were duped into fre...
..                    ...                                                ...
59               Tim Ward  Tim Ward It’s actually less than 20%. I’m not ...
60  Krassenstein Brothers  Krassenstein Brothers How much money would he ...
61              Mari Mari  Mari Mari So sad that in the whole US there’s ...
62             Eva Kovacs  Eva Kovacs 'Received word from China"" is as mu...
63              Mag Smith  Mag Smith And I’ve received word that I won th...

[64 rows x 2 columns]","['59 Like', '12 Angry', '10 Haha']",https://www.facebook.com/cnnpolitics/posts/1281614831880347,mostly true,59,10,0,0,0,12
4,"""There's a reason why we haven't had a woman president; that we as a society still grapple with what it means to see powerful women,"" President Obama says.",513,331,116,"                     Name                                            Comment
0              Jamie Dick  Jamie Dick No, we've gotten used to seeing a p...
1           Carl Kendrick  Carl Kendrick Lol--here we go, right out of th...
2             Mark Welker  Mark Welker Americans elect lots of women...th...
3        Daniel Etheridge  Daniel Etheridge Bill Clinton defended his wif...
4   Lena Hofmans Chinners  Lena Hofmans Chinners Oh brother, or could it ...
..                    ...                                                ...
59               Tim Ward  Tim Ward It’s actually less than 20%. I’m not ...
60  Krassenstein Brothers  Krassenstein Brothers How much money would he ...
61              Mari Mari  Mari Mari So sad that in the whole US there’s ...
62             Eva Kovacs  Eva Kovacs 'Received word from China"" is as mu...
63              Mag Smith  Mag Smith And I’ve received word that I won th...

[64 rows x 2 columns]","['462 Like', '25 Love', '12 Haha']",https://www.facebook.com/cnnpolitics/posts/1281662605208903,mostly true,462,12,25,0,0,0
5,The former Florida governor and GOP presidential candidate plays an Uber driver alongside Jimmy Kimmel in an Emmys video.,134,75,20,"                         Name  \
0                 Chris Smith   
1                 Mark Patton   
2             Stephanie Keyes   
3        Cindy Massey Hendrix   
4               Louise Seaman   
5                  Ron Aragon   
6              Robin Reynolds   
7                Neil K Hatch   
8          Christina Sorensen   
9                 Dearly Vega   
10            Rebecca Jackson   
11                 Donna Root   
12                   Jim Hamm   
13               Doreen Zanni   
14                 Doyle Rice   
15                   Db Lyman   
16               Mavis Beacon   
17                  Ed Holmes   
18              Russ Tompkins   
19  Stephen Barbara Roseberry   
20            Cecilia Botelho   
21               Sonia Varley   
22            Marianne Langan   
23                  Jim Moore   
24               Artie Fisher   
25                 Dee Crispy   
26      Debra Cafaro Guccione   
27                    LR Dyke   
28         Dennis Vassalluzzo   
29                    Don Jay   
30             Doug Kim Allen   
31              Rosez Rachels   
32   Marie Paschall Ratterman   
33                 Jake Bello   
34                 Scott Emge   
35               Krista Clark   
36                  Solá Toín   
37              Merrill Balbo   
38                 Eva Kovacs   
39             Adam Camilleri   
40              Chris Waldron   
41               George Giret   
42                   Tim Ward   
43            Jerry Smith Jr.   
44                   Tim Ward   
45      Krassenstein Brothers   
46                  Mari Mari   
47                 Eva Kovacs   
48                  Mag Smith   

                                              Comment  
0                         Chris Smith Nobody watched.  
1   Mark Patton Like anyone wants a President name...  
2                        Stephanie Keyes It was great  
3   Cindy Massey Hendrix Hillary Clinton has taken...  
4              Louise Seaman I thought it was awesome  
5   Ron Aragon Bush, now needs to tell Hillary, ""n...  
6   Robin Reynolds Wow another attack derailing aw...  
7   Neil K Hatch Thursday, September 15, 2016\n\nR...  
8   Christina Sorensen https://www.facebook.com/Me...  
9   Dearly Vega DONALD TRUMP WILL MAKE AMERICA GRE...  
10  Rebecca Jackson DEPLORABLE, ANYTHING BUSH OR GOP.  
11  Donna Root He would cause he won't be presiden...  
12  Jim Hamm Jeb Bush part of the bush crime famil...  
13                   Doreen Zanni Low energy Jeb! LOL  
14                      Doyle Rice Jeb Bush is a liar  
15  Db Lyman Good, he found something he could do....  
16                          Mavis Beacon Just go away  
17  Ed Holmes Jeb was a terrible governor. He almo...  
18   Russ Tompkins Well since I'm not in the election  
19  Stephen Barbara Roseberry Come on Jeb - endors...  
20                       Cecilia Botelho Please clap.  
21                                Sonia Varley Oh my😉  
22                              Marianne Langan Book!  
23  Jim Moore How low he has come. Bush continues ...  
24  Artie Fisher Jeb should be ashamed of himself....  
25                                         Dee Crispy  
26   Debra Cafaro Guccione He has nothing else to do!  
27  LR Dyke Our brave military kills one Isis lead...  
28  Dennis Vassalluzzo https://www.facebook.com/we...  
29  Don Jay Jeb seems to have found a second caree...  
30  Doug Kim Allen https://billygraham.org/story/2...  
31  Rosez Rachels It was nice seeing Jeb Bush! I l...  
32   Marie Paschall Ratterman Jeb is a loser! Period.  
33  Jake Bello I loved the Emmys and almost every ...  
34                       Scott Emge Low energy cameo.  
35  Krista Clark In his defence, painful talking a...  
36  Solá Toín He's too busy watching Fox & Friends...  
37  Merrill Balbo I was just struck by how one nee...  
38  Eva Kovacs Well said, Mr. Walsh. You could als...  
39  Adam Camilleri Well he is an expert. Who’ll ev...  
40  Chris Waldron He came to our area (Conway, SC)...  
41  George Giret Tim Ward\nAnd yet China's economy...  
42  Tim Ward You will need more than 7 Yuan just t...  
43  Jerry Smith Jr. If someone holds 90% of your d...  
44  Tim Ward It’s actually less than 20%. I’m not ...  
45  Krassenstein Brothers How much money would he ...  
46  Mari Mari So sad that in the whole US there’s ...  
47  Eva Kovacs 'Received word from China"" is as mu...  
48  Mag Smith And I’ve received word that I won th...  ","['102 Like', '20 Haha', '7 Love']",https://www.facebook.com/cnnpolitics/posts/1281683768540120,mostly true,102,20,7,0,0,0
6,Gov. Chris Christie falsely claims that Donald J. Trump hadn't talked 'birther' for years,464,603,54,"                     Name                                            Comment
0               Ron Price  Ron Price Wake up Jake. When someone tells a f...
1         Serafina Calise  Serafina Calise Christie lied about the Port A...
2       Angela Buczkowski  Angela Buczkowski I mean what if we started Tr...
3             Louis Houck  Louis Houck No one cares,except the liberal me...
4         Pamela Everetts  Pamela Everetts CNN is still harping on this.....
..                    ...                                                ...
59               Tim Ward  Tim Ward It’s actually less than 20%. I’m not ...
60  Krassenstein Brothers  Krassenstein Brothers How much money would he ...
61              Mari Mari  Mari Mari So sad that in the whole US there’s ...
62             Eva Kovacs  Eva Kovacs 'Received word from China"" is as mu...
63              Mag Smith  Mag Smith And I’ve received word that I won th...

[64 rows x 2 columns]","['213 Like', '115 Angry', '114 Haha']",https://www.facebook.com/cnnpolitics/posts/1281703098538187,mostly true,213,114,0,0,0,115
7,"""I do not believe that Russia will have an ability to affect this election,"" US Secretary of State John Kerry tells CNN's Elise Labott. cnn.it/2darnnh",211,167,30,"                        Name  \
0               Chris Larsen   
1   Chris Allen Perez Howard   
2         Sandun Wijewardena   
3            Mitchell Barnes   
4        Donna Kurrasch-Lehr   
..                       ...   
65  Chris Allen Perez Howard   
66        Sandun Wijewardena   
67           Mitchell Barnes   
68       Donna Kurrasch-Lehr   
69            Virginia Perez   

                                              Comment  
0   Chris Larsen Except that according to Hillary,...  
1   Chris Allen Perez Howard My gosh CNN you certa...  
2   Sandun Wijewardena This dude must be talking a...  
3   Mitchell Barnes We should be open to working w...  
4   Donna Kurrasch-Lehr Russia doesn't have anythi...  
..                                                ...  
65  Chris Allen Perez Howard My gosh CNN you certa...  
66  Sandun Wijewardena This dude must be talking a...  
67  Mitchell Barnes We should be open to working w...  
68  Donna Kurrasch-Lehr Russia doesn't have anythi...  
69  Virginia Perez No, the DNC got busted, therefo...  

[70 rows x 2 columns]","['184 Like', '14 Haha', '8 Angry']",https://www.facebook.com/cnnpolitics/posts/1281708098537687,mostly true,184,14,0,0,0,8
398,He also managed to take a veiled shot at Donald J. Trump.,390,151,33,"                        Name  \
0               Sally Lauren   
1                Doug Martin   
2                Jo Stafford   
3               Thomas Tubbs   
4               Daniel Rojas   
5              Michael Black   
6                 Diana Kemp   
7                 John Kelly   
8        Joanne Taylor Busby   
9           Dennis McAuliffe   
10               Denny Olson   
11                 Jon Meyer   
12          Deborah Robinson   
13                 John Belt   
14         William Dale Fulk   
15              John Roberts   
16           Petra Patterson   
17            Jacque Watkins   
18         Patricia Woodward   
19           Andres Bolinaga   
20               Justin Wynn   
21              RJ Schroeder   
22               Chris Poole   
23               Tom Donohue   
24        Kenneth Hall Epple   
25             David Pelican   
26            Rebecca Laskey   
27                Craig Cart   
28               Gary Rorrer   
29            Kenny Williams   
..                       ...   
32              A.J. Morelli   
33  Antonio Águila-Americano   
34            Crystal Barron   
35             Mark Lundgren   
36             Chris Templar   
37            Evan Silverman   
38                Brian Boru   
39              David Martin   
40               Jo Stafford   
41             Greg Ferguson   
42                  DM Dukar   
43               Trey Slicer   
44              Johnny Basso   
45                John Kelly   
46              Dindu Favour   
47             Jeffrey Black   
48             Andrew Grunza   
49              Deborah Carr   
50            Kenneth Adkins   
51              Marie Murray   
52                Karen Kohn   
53         Thomas D. Fraioli   
54               Jose Romero   
55     Beth Williams Maloney   
56             Colette Smith   
57     Cheryl Gaede Williams   
58              Ariane Rocco   
59             Robert Savard   
60                Tim Taylor   
61             Patrick Cowan   

                                              Comment  
0   Sally Lauren This coming from the same man who...  
1                               Doug Martin Dangerous  
2                   Jo Stafford Not the role of govt.  
3   Thomas Tubbs Worst president EVER!\nHILLARY IS...  
4   Daniel Rojas They bomb their countries, they s...  
5   Michael Black Just how much is a nation to end...  
6   Diana Kemp Mark lundgren, that would make too ...  
7             John Kelly https://youtu.be/rOmTH1fIhBE  
8   Joanne Taylor Busby put them on hawaii, martha...  
9   Dennis McAuliffe The most interesting aspect o...  
10  Denny Olson So the strategy is bomb them out o...  
11  Jon Meyer #worstPOTUSever\n4 IS attacks in one...  
12  Deborah Robinson I agree , so Obama how about ...  
13                                          John Belt  
14  William Dale Fulk Obama apologize to the World...  
15  John Roberts But only Islamic 'refugees' not e...  
16  Petra Patterson It is disgusting how many time...  
17                                  Jacque Watkins No  
18  Patricia Woodward Germany's chancellor is havi...  
19  Andres Bolinaga http://www.breitbart.com/.../t...  
20  Justin Wynn Those nations will ask Obama to ke...  
21  RJ Schroeder Obama urges nations to open their...  
22  Chris Poole Let's open our arms to the people ...  
23  Tom Donohue It seems like poorly vetted people...  
24                  Kenneth Hall Epple the empty suit  
25  David Pelican There are no bigger enemies to A...  
26  Rebecca Laskey Madam President Hillary Rodham ...  
27  Craig Cart Didn't he send Mexico $17 million t...  
28  Gary Rorrer Thank goodness other leaders ignor...  
29  Kenny Williams And if some innocent citizen is...  
..                                                ...  
32    A.J. Morelli And they say he's not a Christian.  
33  Antonio Águila-Americano Start with Syria's ne...  
34                 Crystal Barron No thanks. No more.  
35  Mark Lundgren Build a safe zone in there country.  
36  Chris Templar Tremedious hyperbole and rhetori...  
37  Evan Silverman Alternative headline: Obama urg...  
38       Brian Boru Obama is a truly great president.  
39  David Martin Obama is a Great Divider and a Gr...  
40  Jo Stafford Obama and Hillary have always used...  
41  Greg Ferguson America should ""Open arms"" , and...  
42  DM Dukar We are down one in St Cloud. Next Mus...  
43    Trey Slicer George Soros is proud of his pets!!  
44         Johnny Basso No Hajis here. We have enough  
45            John Kelly https://youtu.be/Tjpcp4gESsU  
46  Dindu Favour It amazes me how people keep up w...  
47  Jeffrey Black i would rather obama leave and g...  
48                           Andrew Grunza Take Obama  
49  Deborah Carr Looking at a small weak man with ...  
50  Kenneth Adkins He makes up whatever facts he w...  
51  Marie Murray 45's children must be so proud of...  
52  Karen Kohn That sucks, but these guys have vot...  
53  Thomas D. Fraioli What he says, ""I want the cl...  
54  Jose Romero 👏👏👏👏 Bravo... It's ABOUT TIME SOME...  
55  Beth Williams Maloney Since Congress has abdic...  
56  Colette Smith Unconscionable that the states h...  
57  Cheryl Gaede Williams But but what about our o...  
58           Ariane Rocco we do too Macron! thank you  
59  Robert Savard The sentiments of a great many o...  
60  Tim Taylor Let Trump go to Kims house for the ...  
61  Patrick Cowan He must like the beautiful beach...  

[62 rows x 2 columns]","['297 Like', '69 Love', '19 Angry']",https://www.facebook.com/politico/posts/10153844834326680,mostly true,297,0,69,0,0,19
399,"The new ad bills Donald J. Trump's White House bid is ""a movement, not a campaign.""",296,378,21,"                      Name                                            Comment
0   Jane Malschick Maestro  Jane Malschick Maestro Is that all they've got...
1           David Anderson  David Anderson I thought it was pretty good. I...
2               Bill Palma  Bill Palma Adlof Hitler considered his a Chris...
3       Christian Hinrichs  Christian Hinrichs Positive energy like Marla ...
4        Kristina Leonetti  Kristina Leonetti His whole campaign is sleazy...
5           Anne Galbraith  Anne Galbraith If I recall correctly, after di...
6         Wesley-Ryan Boyd  Wesley-Ryan Boyd He didn't even wait until the...
7           Marc Saint Luc  Marc Saint Luc Donald Trump loses in North Car...
8              Steve Dixon  Steve Dixon It's a movement alright. A bowel m...
9           Michael Stella  Michael Stella I do think of him as a movement...
10              Brian Boru  Brian Boru The harm is unfortunately already d...
11            Mary Schultz  Mary Schultz You creep! Isnt that thesame time...
12            Donald Horst  Donald Horst Isn't that about the time when Tr...
13          Alex Schneider  Alex Schneider Anything before his wedding whe...
14        Jackie Forrester  Jackie Forrester Rebecca Collins I can't belie...
15           Connie Graham  Connie Graham I can't wait to see the ""movemen...
16          Kelly Kershner  Kelly Kershner Pot, meet kettle. Oh, wait. Bil...
17            Scott Buratt  Scott Buratt I just had a similar movement jus...
18        Jacie Lee Anders  Jacie Lee Anders Ya, a bowel-movement.\nJust s...
19              Judy Brown  Judy Brown I hope u guys agree with me that th...
20             Brian Beaty  Brian Beaty I love reading this thread...liber...
21    Patricia Lynn Reilly  Patricia Lynn Reilly When will you get it? Cli...
22          Marc Saint Luc  Marc Saint Luc Katie Johnson has agreed to be ...
23           Steve Potente  Steve Potente What a pig. One of the great tru...
24           David Wieneke  David Wieneke The American fascists are most e...
25        Cheryl A. DeMelo  Cheryl A. DeMelo Hillary should us the 13 year...
26  Deborah Radovsky Silva  Deborah Radovsky Silva Since they are using th...
27         Patti Data Houk  Patti Data Houk Oh he thinks he is Mr Clean..w...
28          Hedwig Yankowy  Hedwig Yankowy You would think that by the tim...
29             Allen Bobby  Allen Bobby Trump is lying!! He can release an...
..                     ...                                                ...
32        Dennis McAuliffe  Dennis McAuliffe studies of psychological prof...
33           Lance Maggart  Lance Maggart Fascism was a ""movement"" too.\nC...
34         Kathleen Larkin  Kathleen Larkin About the time he grossed list...
35         John M. Reesman  John M. Reesman Trump's campaign is a bowel mo...
36       Nathaniel Guthrie  Nathaniel Guthrie Well, at least he has conced...
37      Johnnie Ray Pedigo  Johnnie Ray Pedigo From the guy who been marri...
38             Peter Rocca  Peter Rocca Trump's a movement alright, a bowe...
39           Simcha Aharon  Simcha Aharon Of course ""movement"" - xenophobi...
40            Wilson Ramos  Wilson Ramos Republican businessman Donald J T...
41  Janet Abraham Kloville  Janet Abraham Kloville That helped get Bill el...
42       Gregory Gillespie  Gregory Gillespie He forgot the word bowel in ...
43             JoAnn Scott  JoAnn Scott She had one of him praising her fo...
44        Joanette Garrett  Joanette Garrett I wonder if he thinks he can ...
45         Jonathan Rezach  Jonathan Rezach A white supremacist hate movem...
46            Fenerty Lisa  Fenerty Lisa Oh it's a movement alright. A mov...
47            Helen France  Helen France Does racist Trump really want to ...
48      Gretchen Lindquist  Gretchen Lindquist It's a movement alright, a ...
49     Bonnie Hitt Poynter  Bonnie Hitt Poynter This from a man who has du...
50          Kenneth Adkins  Kenneth Adkins He makes up whatever facts he w...
51            Marie Murray  Marie Murray 45's children must be so proud of...
52              Karen Kohn  Karen Kohn That sucks, but these guys have vot...
53       Thomas D. Fraioli  Thomas D. Fraioli What he says, ""I want the cl...
54             Jose Romero  Jose Romero 👏👏👏👏 Bravo... It's ABOUT TIME SOME...
55   Beth Williams Maloney  Beth Williams Maloney Since Congress has abdic...
56           Colette Smith  Colette Smith Unconscionable that the states h...
57   Cheryl Gaede Williams  Cheryl Gaede Williams But but what about our o...
58            Ariane Rocco           Ariane Rocco we do too Macron! thank you
59           Robert Savard  Robert Savard The sentiments of a great many o...
60              Tim Taylor  Tim Taylor Let Trump go to Kims house for the ...
61           Patrick Cowan  Patrick Cowan He must like the beautiful beach...

[62 rows x 2 columns]","['123 Angry', '90 Like', '64 Haha']",https://www.facebook.com/politico/posts/10153844870961680,mostly true,90,64,0,0,0,123
